duration,total_ram,free_ram,total_disk,free_disk,processor
81.0,32.0,14.65,256.0,29.67,amd ryzen 5
44.0,32.0,15.25,512.0,368.44,intel i7
49.0,32.0,13.61,256.0,90.7,amd ryzen 7
221.0,16.0,6.96,256.0,186.01,amd ryzen 3
369.0,32.0,13.85,512.0,212.8,intel i3
251.0,16.0,6.63,256.0,200.91,amd ryzen 3
107.0,16.0,9.22,512.0,331.4,intel i7
214.0,16.0,8.11,256.0,154.23,amd ryzen 3
173.0,16.0,6.54,512.0,298.56,amd ryzen 5
215.0,16.0,7.06,256.0,192.3,amd ryzen 3
150.0,16.0,4.45,512.0,374.26,intel i7
87.0,16.0,6.96,256.0,185.24,amd ryzen 7
179.0,16.0,9.64,512.0,302.41,amd ryzen 3
109.0,32.0,12.63,256.0,82.77,intel i5
154.0,32.0,14.16,512.0,313.3,intel i3
149.0,16.0,5.0,512.0,285.71,intel i7
142.0,32.0,16.98,256.0,197.17,intel i3
137.0,16.0,8.23,256.0,56.72,amd ryzen 5
239.0,16.0,6.34,,164.63,intel i3
71.0,32.0,11.21,512.0,388.02,
152.0,16.0,8.17,512.0,246.96,amd ryzen 5
227.0,32.0,11.27,,124.46,intel i3
25.0,32.0,13.29,256.0,165.68,amd ryzen 7
25.0,32.0,19.24,256.0,97.32,intel i7
131.0,16.0,5.89,512.0,307.14,intel i7
203.0,16.0,5.74,256.0,179.98,intel i5
155.0,32.0,15.78,512.0,173.29,intel i3
175.0,16.0,,256.0,246.0,intel i5
176.0,32.0,10.53,256.0,100.73,amd ryzen 3
25.0,32.0,18.57,512.0,406.73,intel i7
100.0,16.0,6.56,512.0,352.43,amd ryzen 7
43.0,32.0,17.55,256.0,126.34,amd ryzen 5
95.0,16.0,6.84,256.0,209.69,amd ryzen 7
114.0,16.0,6.66,256.0,78.43,intel i7
104.0,16.0,8.24,,116.92,intel i7
208.0,16.0,9.6,256.0,137.19,amd ryzen 3
198.0,16.0,3.31,512.0,271.43,amd ryzen 5
201.0,16.0,5.42,256.0,131.26,intel i5
54.0,32.0,12.1,256.0,140.32,intel i7
185.0,16.0,6.99,256.0,199.93,intel i5
193.0,16.0,7.46,256.0,148.25,intel i5
95.0,16.0,7.8,512.0,351.57,amd ryzen 7
155.0,16.0,8.99,512.0,421.99,amd ryzen 5
100.0,32.0,14.35,256.0,201.69,intel i5
236.0,16.0,4.38,256.0,173.62,intel i5
133.0,32.0,13.48,256.0,47.76,amd ryzen 3
133.0,32.0,15.51,512.0,328.63,intel i3
94.0,16.0,7.79,256.0,154.18,amd ryzen 7
120.0,16.0,7.67,256.0,180.53,amd ryzen 7
31.0,32.0,13.54,512.0,256.06,intel i7
106.0,16.0,6.85,256.0,127.46,amd ryzen 7
255.0,16.0,6.34,256.0,189.06,amd ryzen 3
78.0,32.0,11.5,512.0,243.06,intel i7
131.0,16.0,6.86,256.0,170.7,amd ryzen 7
226.0,16.0,7.76,512.0,303.19,amd ryzen 3
164.0,16.0,6.76,512.0,291.67,amd ryzen 5
25.0,32.0,17.93,256.0,126.98,amd ryzen 7
145.0,32.0,15.0,256.0,179.18,amd ryzen 3
,32.0,14.47,256.0,119.02,amd ryzen 7
249.0,16.0,7.44,512.0,298.28,intel i3
184.0,16.0,6.76,512.0,348.79,intel i5
251.0,16.0,7.07,256.0,140.73,intel i3
305.0,16.0,5.15,256.0,135.7,intel i3
166.0,16.0,7.08,512.0,217.42,amd ryzen 5
112.0,32.0,11.32,256.0,110.07,amd ryzen 5
269.0,16.0,6.45,512.0,338.49,intel i3
25.0,16.0,10.78,512.0,323.84,amd ryzen 7
37.0,32.0,11.78,512.0,374.59,amd ryzen 7
,32.0,16.73,256.0,156.93,amd ryzen 7
86.0,32.0,14.19,256.0,71.18,intel i5
204.0,32.0,12.88,256.0,,amd ryzen 3
97.0,16.0,5.75,256.0,59.51,amd ryzen 7
152.0,16.0,6.71,512.0,356.37,amd ryzen 5
125.0,16.0,9.54,256.0,246.0,amd ryzen 5
25.0,32.0,13.79,,116.49,amd ryzen 7
286.0,16.0,3.97,512.0,307.07,intel i3
25.0,32.0,15.16,256.0,138.29,amd ryzen 7
311.0,32.0,15.48,512.0,362.78,intel i3
215.0,16.0,9.92,512.0,,intel i3
93.0,32.0,12.89,256.0,26.82,amd ryzen 5
100.0,16.0,6.15,512.0,332.66,amd ryzen 7
149.0,16.0,10.74,256.0,75.88,intel i5
176.0,16.0,7.89,512.0,274.92,intel i5
235.0,16.0,7.82,512.0,133.95,amd ryzen 3
171.0,16.0,7.38,256.0,152.48,intel i5
235.0,16.0,6.51,256.0,231.44,amd ryzen 3
178.0,16.0,7.21,256.0,,intel i5
150.0,16.0,5.21,256.0,121.11,intel i7
242.0,16.0,8.18,256.0,194.61,intel i3
85.0,16.0,7.85,512.0,227.13,intel i7
144.0,16.0,9.01,512.0,214.17,intel i5
145.0,16.0,8.93,512.0,335.13,amd ryzen 5
89.0,16.0,8.01,512.0,258.81,amd ryzen 7
192.0,16.0,11.0,512.0,172.96,amd ryzen 3
189.0,32.0,13.91,512.0,,intel i3
170.0,16.0,11.2,256.0,173.48,amd ryzen 3
141.0,16.0,8.95,512.0,120.98,amd ryzen 5
261.0,16.0,4.82,512.0,212.44,intel i3
181.0,16.0,6.5,512.0,243.39,intel i5
160.0,16.0,7.73,512.0,90.51,amd ryzen 5
181.0,16.0,6.96,256.0,196.1,amd ryzen 5
170.0,32.0,15.12,256.0,69.16,intel i3
100.0,16.0,7.73,256.0,61.71,amd ryzen 7
257.0,16.0,6.12,512.0,320.7,amd ryzen 3
133.0,16.0,7.15,512.0,184.15,intel i7
44.0,32.0,13.26,256.0,52.66,amd ryzen 7
207.0,32.0,8.75,256.0,130.19,amd ryzen 3
186.0,16.0,5.6,256.0,246.0,amd ryzen 5
250.0,16.0,7.11,512.0,215.38,amd ryzen 3
159.0,16.0,8.44,256.0,35.07,intel i5
25.0,32.0,14.04,512.0,124.65,amd ryzen 7
155.0,16.0,7.95,512.0,250.78,amd ryzen 5
109.0,16.0,7.33,256.0,126.96,intel i7
152.0,16.0,5.48,512.0,218.83,intel i7
202.0,32.0,12.52,512.0,261.75,intel i3
153.0,32.0,14.22,256.0,64.73,amd ryzen 3
68.0,16.0,10.34,512.0,253.14,amd ryzen 7
25.0,32.0,13.31,512.0,323.4,amd ryzen 7
,32.0,8.24,512.0,370.62,intel i7
268.0,16.0,6.43,512.0,202.11,intel i3
198.0,16.0,4.34,512.0,286.57,amd ryzen 5
130.0,32.0,17.31,256.0,145.9,amd ryzen 3
25.0,32.0,14.4,256.0,108.9,amd ryzen 7
25.0,32.0,17.27,512.0,323.92,amd ryzen 7
136.0,16.0,3.8,512.0,298.35,amd ryzen 7
64.0,32.0,14.76,512.0,309.29,amd ryzen 5
205.0,32.0,12.43,256.0,73.88,amd ryzen 3
25.0,32.0,15.48,512.0,340.62,intel i7
106.0,16.0,6.12,512.0,232.12,amd ryzen 7
153.0,32.0,14.03,256.0,231.39,amd ryzen 3
48.0,32.0,14.79,256.0,58.41,intel i7
122.0,32.0,15.58,256.0,246.0,amd ryzen 3
56.0,32.0,13.07,512.0,277.0,intel i7
132.0,16.0,7.31,256.0,164.53,intel i7
128.0,16.0,3.46,512.0,215.8,amd ryzen 7
192.0,16.0,6.19,256.0,246.0,amd ryzen 5
105.0,16.0,9.14,512.0,344.29,intel i7
174.0,32.0,8.21,512.0,328.51,intel i5
223.0,16.0,9.71,512.0,298.12,
25.0,32.0,19.15,512.0,338.18,intel i7
50.0,32.0,17.73,256.0,112.66,intel i5
46.0,32.0,10.82,512.0,208.2,amd ryzen 7
39.0,16.0,14.58,512.0,279.2,intel i7
79.0,32.0,12.61,512.0,260.18,amd ryzen 5
25.0,32.0,14.2,512.0,320.99,amd ryzen 7
242.0,16.0,9.42,256.0,134.2,intel i3
233.0,16.0,8.14,512.0,422.94,intel i3
145.0,32.0,16.96,256.0,221.35,intel i3
158.0,16.0,3.4,,72.89,intel i7
201.0,16.0,7.84,512.0,229.04,amd ryzen 3
163.0,32.0,14.73,512.0,237.29,intel i3
121.0,32.0,13.51,512.0,275.34,intel i5
151.0,,8.68,512.0,357.01,amd ryzen 5
99.0,32.0,17.68,256.0,246.0,amd ryzen 3
210.0,32.0,11.75,256.0,142.3,intel i3
163.0,16.0,7.96,512.0,267.88,amd ryzen 5
70.0,32.0,14.51,512.0,263.01,intel i5
102.0,32.0,13.1,512.0,369.57,intel i5
157.0,16.0,7.53,512.0,205.46,amd ryzen 5
144.0,16.0,6.88,256.0,218.62,amd ryzen 7
67.0,16.0,10.86,512.0,268.32,intel i7
25.0,32.0,12.44,512.0,245.84,amd ryzen 7
138.0,16.0,8.72,256.0,132.01,amd ryzen 5
25.0,32.0,13.52,512.0,433.29,amd ryzen 7
37.0,32.0,15.29,256.0,213.29,intel i7
98.0,16.0,7.37,256.0,198.66,amd ryzen 7
147.0,16.0,9.09,256.0,127.15,amd ryzen 5
139.0,16.0,7.77,256.0,119.72,amd ryzen 5
58.0,16.0,9.05,256.0,223.19,amd ryzen 7
145.0,32.0,16.99,256.0,183.26,amd ryzen 3
98.0,32.0,14.81,512.0,302.07,intel i5
127.0,32.0,14.76,512.0,254.36,amd ryzen 3
189.0,32.0,13.22,512.0,389.53,intel i3
176.0,16.0,7.3,512.0,338.76,intel i5
286.0,16.0,5.21,256.0,166.44,intel i3
68.0,16.0,8.58,256.0,246.0,amd ryzen 7
142.0,32.0,16.36,512.0,194.12,intel i3
54.0,32.0,14.01,256.0,62.99,intel i7
199.0,16.0,8.43,512.0,325.9,amd ryzen 3
166.0,16.0,8.09,256.0,184.94,intel i5
219.0,16.0,7.01,256.0,98.07,amd ryzen 3
25.0,32.0,14.97,256.0,206.22,intel i7
186.0,16.0,8.62,512.0,298.97,
154.0,16.0,8.78,256.0,194.05,amd ryzen 5
263.0,16.0,6.66,256.0,120.69,amd ryzen 3
107.0,16.0,7.79,512.0,439.84,intel i7
90.0,32.0,14.73,512.0,348.92,intel i5
139.0,32.0,11.68,512.0,174.64,intel i5
143.0,16.0,7.82,512.0,295.52,intel i5
64.0,32.0,12.71,256.0,198.35,intel i7
127.0,32.0,16.46,256.0,45.52,amd ryzen 3
99.0,16.0,9.02,512.0,135.15,amd ryzen 7
222.0,16.0,9.94,512.0,285.87,intel i3
60.0,32.0,17.49,256.0,10.0,intel i5
178.0,32.0,13.62,256.0,75.41,amd ryzen 3
87.0,32.0,13.75,512.0,263.21,amd ryzen 5
106.0,16.0,4.79,256.0,200.99,amd ryzen 7
196.0,16.0,5.07,256.0,10.0,intel i5
96.0,32.0,15.9,256.0,175.36,intel i5
206.0,16.0,5.89,256.0,236.29,intel i5
70.0,16.0,9.23,512.0,291.85,amd ryzen 7
101.0,16.0,6.19,256.0,199.52,amd ryzen 7
47.0,32.0,15.87,256.0,212.32,intel i7
123.0,16.0,4.37,512.0,286.09,amd ryzen 7
250.0,16.0,10.63,512.0,227.95,intel i3
25.0,32.0,15.51,256.0,99.55,amd ryzen 7
113.0,16.0,6.39,256.0,87.98,amd ryzen 7
166.0,16.0,7.78,512.0,305.11,intel i5
123.0,16.0,4.3,512.0,293.03,amd ryzen 7
138.0,16.0,8.79,512.0,346.37,amd ryzen 5
302.0,16.0,10.38,256.0,108.38,intel i5
237.0,16.0,6.98,256.0,81.5,amd ryzen 3
173.0,16.0,6.54,256.0,245.07,amd ryzen 5
95.0,32.0,16.43,256.0,40.98,intel i5
25.0,32.0,14.27,512.0,207.4,amd ryzen 7
157.0,16.0,3.34,512.0,,amd ryzen 7
204.0,16.0,6.09,256.0,139.76,intel i5
143.0,16.0,5.94,512.0,273.76,amd ryzen 7
109.0,16.0,8.12,256.0,177.49,intel i7
127.0,16.0,5.48,512.0,276.72,amd ryzen 7
114.0,32.0,13.22,256.0,157.39,amd ryzen 5
34.0,16.0,13.29,256.0,185.84,amd ryzen 7
150.0,16.0,6.04,256.0,134.97,intel i7
241.0,16.0,6.14,512.0,429.41,amd ryzen 3
25.0,32.0,13.59,512.0,326.4,amd ryzen 7
108.0,16.0,7.96,512.0,263.91,intel i7
195.0,16.0,4.69,512.0,328.65,intel i5
245.0,16.0,1.71,512.0,333.05,intel i5
254.0,16.0,6.07,256.0,234.03,amd ryzen 3
131.0,16.0,6.9,256.0,122.09,intel i7
224.0,16.0,6.61,512.0,257.18,amd ryzen 3
254.0,16.0,5.4,256.0,202.81,amd ryzen 3
109.0,16.0,12.4,512.0,267.92,amd ryzen 5
118.0,32.0,12.61,512.0,286.09,amd ryzen 5
126.0,16.0,7.78,256.0,202.02,intel i7
158.0,16.0,8.24,256.0,219.56,intel i5
128.0,16.0,9.31,512.0,356.19,intel i5
178.0,16.0,7.6,256.0,149.75,intel i5
124.0,32.0,17.11,512.0,313.37,amd ryzen 3
55.0,32.0,15.78,256.0,246.0,amd ryzen 5
115.0,16.0,6.0,512.0,255.61,amd ryzen 7
55.0,16.0,10.38,256.0,116.48,amd ryzen 7
240.0,16.0,5.99,256.0,91.53,amd ryzen 3
114.0,32.0,11.85,256.0,46.22,intel i5
208.0,16.0,10.05,512.0,315.6,intel i3
138.0,,5.86,256.0,141.05,intel i7
267.0,16.0,7.22,256.0,157.11,intel i3
145.0,32.0,16.2,256.0,47.92,intel i3
142.0,32.0,18.16,256.0,125.03,intel i3
39.0,32.0,16.08,512.0,220.86,amd ryzen 5
253.0,16.0,7.58,512.0,235.91,amd ryzen 3
171.0,16.0,1.08,256.0,200.33,intel i7
26.0,32.0,15.96,256.0,52.61,amd ryzen 7
25.0,32.0,16.15,256.0,121.26,
138.0,16.0,4.23,512.0,338.82,amd ryzen 7
95.0,32.0,13.94,512.0,309.89,intel i5
26.0,32.0,17.32,512.0,209.02,intel i7
133.0,16.0,5.44,256.0,139.37,amd ryzen 7
159.0,16.0,7.09,256.0,246.0,intel i5
208.0,16.0,5.92,512.0,400.03,
163.0,32.0,16.06,512.0,,intel i3
193.0,16.0,6.72,256.0,198.92,amd ryzen 5
150.0,32.0,14.25,512.0,305.37,amd ryzen 3
165.0,32.0,12.75,256.0,177.02,amd ryzen 3
182.0,16.0,7.36,256.0,82.18,intel i5
113.0,32.0,15.29,512.0,333.07,amd ryzen 3
170.0,16.0,8.53,256.0,128.63,intel i5
129.0,16.0,7.69,256.0,230.44,intel i7
196.0,16.0,9.9,256.0,10.0,amd ryzen 3
125.0,32.0,11.83,,182.06,intel i5
121.0,32.0,16.71,256.0,176.51,amd ryzen 3
150.0,32.0,15.56,256.0,63.35,intel i3
92.0,32.0,11.78,256.0,185.64,amd ryzen 5
112.0,,9.0,256.0,95.94,intel i7
167.0,16.0,7.27,512.0,243.47,intel i5
226.0,16.0,5.31,256.0,226.71,intel i5
265.0,16.0,4.18,256.0,164.86,intel i3
62.0,32.0,14.56,512.0,233.5,amd ryzen 5
47.0,16.0,9.79,512.0,236.24,amd ryzen 7
128.0,32.0,12.63,512.0,379.55,intel i5
71.0,16.0,7.36,256.0,80.76,amd ryzen 7
197.0,16.0,10.04,256.0,107.48,amd ryzen 3
194.0,16.0,10.73,256.0,88.27,amd ryzen 3
171.0,16.0,4.46,256.0,130.98,intel i7
181.0,32.0,13.55,512.0,193.59,intel i3
164.0,16.0,8.53,512.0,313.66,intel i5
294.0,16.0,5.86,512.0,200.45,intel i3
226.0,16.0,8.47,256.0,131.77,amd ryzen 3
245.0,16.0,4.8,256.0,76.69,amd ryzen 3
122.0,16.0,9.34,256.0,164.06,intel i7
25.0,32.0,15.76,512.0,221.11,intel i7
218.0,16.0,8.2,,395.75,amd ryzen 3
195.0,16.0,3.33,512.0,283.83,amd ryzen 5
155.0,32.0,10.02,256.0,185.65,intel i5
25.0,32.0,16.1,512.0,206.33,amd ryzen 7
92.0,16.0,,256.0,218.4,intel i7
148.0,32.0,16.33,512.0,349.61,intel i3
144.0,16.0,7.92,512.0,271.17,intel i5
143.0,16.0,6.35,512.0,269.25,intel i7
85.0,32.0,15.44,256.0,128.71,intel i5
106.0,32.0,12.56,512.0,309.82,intel i5
202.0,16.0,5.92,256.0,231.99,amd ryzen 5
172.0,16.0,5.94,256.0,145.69,amd ryzen 5
74.0,,7.18,512.0,263.52,amd ryzen 7
261.0,16.0,7.28,256.0,19.15,intel i3
196.0,16.0,6.25,256.0,246.0,intel i5
258.0,16.0,4.85,512.0,401.73,amd ryzen 3
214.0,32.0,11.91,256.0,121.07,intel i3
266.0,16.0,6.48,256.0,124.58,amd ryzen 3
306.0,16.0,2.98,512.0,348.8,intel i3
255.0,16.0,6.42,512.0,145.78,amd ryzen 3
186.0,16.0,6.41,512.0,316.65,intel i5
187.0,16.0,8.36,256.0,84.22,amd ryzen 3
52.0,16.0,10.23,256.0,167.83,amd ryzen 7
471.0,16.0,6.94,256.0,174.37,amd ryzen 3
154.0,32.0,12.43,512.0,315.41,amd ryzen 3
223.0,16.0,2.24,256.0,182.8,amd ryzen 5
222.0,16.0,9.14,512.0,268.4,intel i3
155.0,16.0,3.14,512.0,199.84,intel i7
309.0,16.0,2.82,512.0,466.62,intel i3
91.0,32.0,14.17,512.0,258.49,amd ryzen 5
91.0,16.0,7.65,512.0,293.11,amd ryzen 7
25.0,32.0,17.06,512.0,237.16,amd ryzen 7
255.0,16.0,7.53,512.0,369.31,intel i3
209.0,16.0,,512.0,303.31,amd ryzen 3
221.0,16.0,6.72,512.0,329.19,amd ryzen 3
39.0,32.0,11.99,256.0,123.03,amd ryzen 7
25.0,32.0,17.8,256.0,145.75,amd ryzen 7
80.0,32.0,13.6,256.0,116.58,intel i7
25.0,32.0,16.84,256.0,175.89,amd ryzen 5
184.0,16.0,6.02,512.0,356.83,amd ryzen 5
78.0,16.0,8.13,512.0,363.6,amd ryzen 7
181.0,16.0,5.61,256.0,89.98,amd ryzen 5
27.0,32.0,14.8,256.0,119.81,amd ryzen 7
126.0,16.0,6.0,512.0,348.16,intel i7
285.0,16.0,5.78,512.0,404.52,intel i3
190.0,16.0,6.61,256.0,145.37,intel i5
160.0,32.0,10.54,256.0,122.25,intel i5
219.0,16.0,11.05,256.0,114.9,intel i3
166.0,16.0,5.78,256.0,166.88,amd ryzen 5
70.0,32.0,18.19,256.0,158.19,intel i5
115.0,16.0,10.34,512.0,348.61,amd ryzen 5
177.0,16.0,7.58,256.0,,amd ryzen 5
49.0,32.0,17.49,512.0,362.67,amd ryzen 5
144.0,16.0,5.54,512.0,277.73,intel i7
232.0,16.0,8.66,256.0,129.85,intel i3
143.0,,3.99,256.0,100.09,intel i7
127.0,16.0,6.39,256.0,44.9,intel i7
154.0,16.0,8.09,256.0,133.66,intel i5
109.0,16.0,10.55,,320.44,amd ryzen 5
318.0,16.0,2.9,512.0,172.22,intel i3
153.0,16.0,9.19,256.0,118.27,amd ryzen 5
114.0,16.0,5.33,512.0,225.15,amd ryzen 7
78.0,16.0,8.71,256.0,150.15,amd ryzen 7
193.0,16.0,6.85,512.0,273.2,intel i5
194.0,16.0,8.3,256.0,38.83,amd ryzen 3
74.0,16.0,9.4,256.0,88.67,amd ryzen 7
221.0,16.0,9.41,256.0,108.59,amd ryzen 3
139.0,16.0,7.85,256.0,23.71,intel i5
,32.0,16.03,,103.41,amd ryzen 5
303.0,16.0,5.21,,208.23,intel i3
237.0,16.0,8.82,256.0,96.06,amd ryzen 3
230.0,16.0,7.04,256.0,246.0,amd ryzen 3
149.0,16.0,5.13,512.0,,intel i7
205.0,32.0,10.31,256.0,,amd ryzen 3
25.0,32.0,12.28,256.0,214.29,amd ryzen 7
288.0,16.0,5.25,512.0,303.81,
168.0,16.0,6.0,512.0,279.61,amd ryzen 5
25.0,32.0,14.79,256.0,175.07,amd ryzen 7
210.0,32.0,10.64,512.0,388.52,amd ryzen 3
90.0,32.0,13.12,512.0,276.69,amd ryzen 5
264.0,16.0,5.89,256.0,114.72,amd ryzen 3
199.0,16.0,5.12,256.0,160.22,amd ryzen 5
67.0,16.0,10.28,256.0,188.4,amd ryzen 7
248.0,16.0,8.75,256.0,151.47,intel i3
153.0,16.0,8.32,256.0,200.09,amd ryzen 5
226.0,16.0,9.18,512.0,317.73,intel i3
196.0,16.0,3.81,256.0,131.95,amd ryzen 5
175.0,16.0,6.1,256.0,207.93,amd ryzen 5
112.0,16.0,9.71,256.0,246.0,amd ryzen 5
183.0,16.0,7.29,256.0,135.11,intel i5
136.0,16.0,4.31,512.0,200.01,amd ryzen 7
110.0,16.0,7.98,256.0,51.42,intel i7
73.0,32.0,13.93,512.0,307.97,amd ryzen 5
222.0,,12.28,256.0,173.3,intel i3
240.0,16.0,4.08,256.0,198.21,amd ryzen 7
104.0,32.0,14.18,256.0,238.43,intel i5
120.0,16.0,6.79,256.0,10.0,intel i7
120.0,16.0,6.97,256.0,57.62,intel i7
25.0,32.0,16.98,512.0,265.24,amd ryzen 7
138.0,16.0,10.07,512.0,305.6,intel i5
242.0,16.0,7.3,256.0,48.55,amd ryzen 3
227.0,16.0,10.22,512.0,295.09,intel i3
79.0,16.0,9.96,256.0,101.0,amd ryzen 7
38.0,32.0,15.62,256.0,72.35,intel i7
177.0,16.0,6.3,512.0,181.58,amd ryzen 5
93.0,32.0,13.35,256.0,246.0,amd ryzen 5
83.0,16.0,7.71,256.0,171.83,amd ryzen 7
,,13.28,256.0,10.0,intel i7
160.0,16.0,1.71,256.0,205.16,intel i7
287.0,16.0,3.88,512.0,205.18,intel i3
242.0,16.0,8.56,512.0,213.58,intel i3
174.0,16.0,11.1,256.0,128.45,amd ryzen 3
226.0,32.0,12.58,256.0,,intel i3
170.0,16.0,8.1,256.0,172.99,amd ryzen 5
290.0,16.0,10.68,256.0,190.64,amd ryzen 5
168.0,16.0,2.58,256.0,10.0,intel i7
293.0,16.0,4.4,512.0,300.46,intel i3
136.0,32.0,10.23,256.0,120.63,intel i5
49.0,32.0,14.52,256.0,181.25,amd ryzen 7
177.0,16.0,7.87,256.0,111.64,intel i5
191.0,32.0,13.11,256.0,149.02,intel i3
137.0,16.0,8.57,512.0,395.41,amd ryzen 5
56.0,32.0,9.93,256.0,106.57,amd ryzen 7
97.0,16.0,8.24,512.0,172.54,
128.0,16.0,10.5,256.0,53.16,amd ryzen 5
85.0,16.0,9.93,512.0,194.46,intel i7
25.0,32.0,14.97,512.0,387.78,amd ryzen 7
89.0,32.0,14.93,256.0,70.31,amd ryzen 5
30.0,32.0,13.89,256.0,70.09,amd ryzen 7
57.0,16.0,11.12,256.0,,amd ryzen 7
59.0,32.0,17.1,512.0,250.79,intel i5
135.0,16.0,4.87,512.0,208.47,intel i7
77.0,16.0,9.65,512.0,277.87,amd ryzen 7
95.0,16.0,7.52,256.0,137.76,amd ryzen 7
25.0,32.0,16.19,512.0,186.83,intel i7
126.0,16.0,,512.0,276.15,amd ryzen 7
80.0,16.0,8.91,256.0,162.49,amd ryzen 7
188.0,32.0,14.8,256.0,151.26,intel i3
155.0,16.0,7.42,512.0,349.55,amd ryzen 5
159.0,32.0,14.76,512.0,73.91,intel i3
81.0,32.0,15.98,512.0,217.75,intel i5
86.0,32.0,15.49,256.0,230.94,intel i5
56.0,32.0,,512.0,308.93,intel i7
231.0,16.0,6.08,256.0,212.62,intel i3
79.0,16.0,8.48,512.0,338.17,amd ryzen 7
102.0,16.0,6.67,256.0,104.1,amd ryzen 7
217.0,16.0,5.63,256.0,91.12,intel i5
164.0,16.0,12.74,256.0,148.75,intel i3
